,ef_max_sharpe_daily_e_returns,ef_max_sharpe_daily_e_volatility,ef_max_sharpe_daily_sharpe,ef_max_sharpe_monthly_e_returns,ef_max_sharpe_monthly_e_volatility,ef_max_sharpe_monthly_sharpe,ef_max_sharpe_weekly_e_returns,ef_max_sharpe_weekly_e_volatility,ef_max_sharpe_weekly_sharpe,ef_min_volatility_daily_e_returns,ef_min_volatility_daily_e_volatility,ef_min_volatility_daily_sharpe,ef_min_volatility_monthly_e_returns,ef_min_volatility_monthly_e_volatility,ef_min_volatility_monthly_sharpe,ef_min_volatility_weekly_e_returns,ef_min_volatility_weekly_e_volatility,ef_min_volatility_weekly_sharpe,ef_efficient_risk_daily_0.10_e_returns,ef_efficient_risk_daily_0.10_e_volatility,ef_efficient_risk_daily_0.10_sharpe,ef_efficient_risk_daily_0.05_e_returns,ef_efficient_risk_daily_0.05_e_volatility,ef_efficient_risk_daily_0.05_sharpe,ef_efficient_risk_monthly_0.10_e_returns,ef_efficient_risk_monthly_0.10_e_volatility,ef_efficient_risk_monthly_0.10_sharpe,ef_efficient_risk_monthly_0.05_e_returns,ef_efficient_risk_monthly_0.05_e_volatility,ef_efficient_risk_monthly_0.05_sharpe,ef_efficient_risk_weekly_0.10_e_returns,ef_efficient_risk_weekly_0.10_e_volatility,ef_efficient_risk_weekly_0.10_sharpe,ef_efficient_risk_weekly_0.05_e_returns,ef_efficient_risk_weekly_0.05_e_volatility,ef_efficient_risk_weekly_0.05_sharpe,ef_efficient_return_daily_0.04_e_returns,ef_efficient_return_daily_0.04_e_volatility,ef_efficient_return_daily_0.04_sharpe,ef_efficient_return_daily_0.08_e_returns,ef_efficient_return_daily_0.08_e_volatility,ef_efficient_return_daily_0.08_sharpe,ef_efficient_return_monthly_0.04_e_returns,ef_efficient_return_monthly_0.04_e_volatility,ef_efficient_return_monthly_0.04_sharpe,ef_efficient_return_monthly_0.08_e_returns,ef_efficient_return_monthly_0.08_e_volatility,ef_efficient_return_monthly_0.08_sharpe,ef_efficient_return_weekly_0.04_e_returns,ef_efficient_return_weekly_0.04_e_volatility,ef_efficient_return_weekly_0.04_sharpe,ef_efficient_return_weekly_0.08_e_returns,ef_efficient_return_weekly_0.08_e_volatility,ef_efficient_return_weekly_0.08_sharpe
2005-05-09,2.109200701238685,0.12088574163558621,17.27417404556195,2.109200701238685,0.12088574163558621,17.27417404556195,2.015287564080115,0.12388082684327296,16.098509978062662,1.568008247236633,0.10512683122024105,14.717454879510184,1.568008247236633,0.10512683122024105,14.717454879510184,1.6054636721313553,0.11175573842129473,14.17896382957545,1.5811729543893098,0.10510659898426773,14.845517518009382,1.5814485414033594,0.10510660631408757,14.848138866127082,1.5811729543893098,0.10510659898426773,14.845517518009382,1.5814485414033594,0.10510660631408757,14.848138866127082,1.603836413947918,0.11175490002631193,14.164505381756383,1.6041029695420084,0.11175490854594687,14.166889571361882,0.04000000209536782,0.5923100745117618,0.015041891431371867,0.08000000153012538,0.567133997335858,0.08842696469988344,0.04000000209536782,0.5923100745117618,0.015041891431371867,0.08000000153012538,0.567133997335858,0.08842696469988344,0.11436482406717108,0.641832645827514,0.12702403294788261,0.11436482406678043,0.6418326458274145,0.12702403294729675
2005-05-10,2.1116352954033712,0.12088549495623194,17.29433928716316,2.1116352954033712,0.12088549495623194,17.29433928716316,2.0178927462554532,0.12390704020660193,16.116120701061288,1.5692095585085275,0.10508583047939987,14.734629877407864,1.5692095585085275,0.10508583047939987,14.734629877407864,1.6061155864079457,0.11172571341301378,14.188609995167042,1.582423329311599,0.10506549155531575,14.86322786596889,1.5826987367381553,0.10506549886457726,14.865848528490424,1.582423329311599,0.10506549155531575,14.86322786596889,1.5826987367381553,0.10506549886457726,14.865848528490424,1.6044927936934665,0.11172487776286567,14.174187263625827,1.6047549792782625,0.11172488617465859,14.17653299723677,0.03999999535375847,0.5952164708032787,0.014718970717930983,0.07999999530675767,0.5699066451563677,0.08777314407527652,0.03999999535375847,0.5952164708032787,0.014718970717930983,0.07999999530675767,0.5699066451563677,0.08777314407527652,0.11896019627577005,0.6419268718256074,0.13416116791361904,0.11896019627571418,0.6419268718256523,0.1341611679135187
2005-05-11,2.107483035495196,0.1206333388880585,17.296122583773307,2.107483035495196,0.1206333388880585,17.296122583773307,2.0141912536446003,0.1236573773429132,16.118769509566707,1.5707430217345153,0.10506800790194692,14.751709346266702,1.5707430217345153,0.10506800790194692,14.751709346266702,1.6082984015352597,0.11170996400294857,14.210152071033642,1.5842725368085404,0.10504464122828759,14.883784747662949,1.5845471284715602,0.10504464788846746,14.886398258255895,1.5842725368085404,0.10504464122828759,14.883784747662949,1.5845471284715602,0.10504464788846746,14.886398258255895,1.606764210064927,0.11170921966255731,14.196509576896903,1.6070255879677051,0.1117092282357059,14.19884838875052,0.040000000116529315,0.5795862987889437,0.01646300746347807,0.0800000001245828,0.5551773839362963,0.0912945048860194,0.040000000116529315,0.5795862987889437,0.01646300746347807,0.0800000001245828,0.5551773839362963,0.0912945048860194,0.09317505221450467,0.6414689737339748,0.09407418785752726,0.09317505221435508,0.6414689737339555,0.0940741878572975
2005-05-12,2.1052647592523277,0.12043940648217787,17.305585595911428,2.1052647592523277,0.12043940648217787,17.305585595911428,2.0129086579781283,0.12347468856156714,16.132252812296787,1.57290530756318,0.10495118878624586,14.788735883226778,1.57290530756318,0.10495118878624586,14.788735883226778,1.6118276939648455,0.11158599808576099,14.257584469260175,1.5863070088096756,0.10492793664982634,14.919731818574101,1.5865885728886842,0.10492794344133878,14.922414681086423,1.5863070088096756,0.10492793664982634,14.919731818574101,1.5865885728886842,0.10492794344133878,14.922414681086423,1.6082557443198056,0.11158241308504786,14.226015111357196,1.6084925930718206,0.11158242033903261,14.22813691259059,0.04000000118836691,0.5785177739734472,0.01658269839620655,0.08000000114067914,0.5543322967766545,0.0914999921072931,0.04000000118836691,0.5785177739734472,0.01658269839620655,0.08000000114067914,0.5543322967766545,0.0914999921072931,0.09096246559534137,0.6414346623857559,0.09063085573112523,0.09096246559524951,0.6414346623857611,0.0906308557309808
2005-05-13,2.1104232500026154,0.12052132181976395,17.33661422176505,2.1104232500026154,0.12052132181976395,17.33661422176505,2.0164996781343762,0.12353655243258052,16.153238961279737,1.572766217242037,0.10495980989831458,14.786196393031991,1.572766217242037,0.10495980989831458,14.786196393031991,1.6121969096605642,0.11157055095976069,14.262867622175108,1.5861678040302905,0.1049368826289594,14.917133302342826,1.5864409987100723,0.10493689036893791,14.91973602505012,1.5861678040302905,0.1049368826289594,14.917133302342826,1.5864409987100723,0.10493689036893791,14.91973602505012,1.608616759792064,0.1115669960543281,14.231216940252986,1.608879394982434,0.11156700440047368,14.233570030677196,0.04000000204357624,0.5627383270813135,0.018368365229551483,0.08000000222128464,0.5392324855357623,0.09525020031800686,0.04000000204357624,0.5627383270813135,0.018368365229551483,0.08000000222128464,0.5392324855357623,0.09525020031800686,0.06304983440035024,0.6412285516752662,0.04713649023874364,0.08000000381314311,0.6299148700872826,0.07590422679419055
2005-05-16,2.111650662126575,0.1203767116480562,17.36766613951863,2.111650662126575,0.1203767116480562,17.36766613951863,2.017510357551934,0.12339806247624209,16.179583655670136,1.5746504641151273,0.10489415899013611,14.813418623152243,1.5746504641151273,0.10489415899013611,14.813418623152243,1.6141608802793515,0.11150724484403467,14.288581465556407,1.5879372741056235,0.10487157556923124,14.94329972971244,1.5882140360897805,0.10487158267788718,14.945938183969114,1.5879372741056235,0.10487157556923124,14.94329972971244,1.5882140360897805,0.10487158267788718,14.945938183969114,1.6105902533865653,0.11150382482260504,14.256982101014641,1.6108526397123644,0.11150379445104701,14.25933925154648,0.03999999578914838,0.5520689891686453,0.019591289646209736,0.0799999961370778,0.5291573434800443,0.09783406133641537,0.03999999578914838,0.5520689891686453,0.019591289646209736,0.0799999961370778,0.5291573434800443,0.09783406133641537,0.042370659459932423,0.6412554953555556,0.014885719688887206,0.08000000536583707,0.6168093840971781,0.0786597028183265
2005-05-17,2.1128124049360855,0.12042154706900296,17.37082284030795,2.1128124049360855,0.12042154706900296,17.37082284030795,2.018500968814652,0.12345263063110727,16.18043482165935,1.5749555534733917,0.10488015827876841,14.818304000239971,1.5749555534733917,0.10488015827876841,14.818304000239971,1.6139077426067527,0.1115088447853399,14.286104718912403,1.5884272371562271,0.10485708639898042,14.950035979189149,1.5887038574720207,0.10485709425505521,14.952673334119577,1.5884272371562271,0.10485708639898042,14.950035979189149,1.5887038574720207,0.10485709425505521,14.952673334119577,1.6103521065273791,0.11150540803540546,14.254642414345144,1.6106132200442789,0.11150541658471326,14.256983128115769,0.0400000114735068,0.556014947946436,0.019137589647283338,0.080000011186539,0.5328752921097665,0.09687274575802701,0.0400000114735068,0.556014947946436,0.019137589647283338,0.080000011186539,0.5328752921097665,0.09687274575802701,0.05019981211227354,0.6412310800849371,0.027096613140263737,0.08000000608407778,0.6216674970817568,0.0776308941216155
2005-05-18,2.1107909639981135,0.12032883166038703,17.367415362684383,2.1107909639981135,0.12032883166038703,17.367415362684383,2.0165300683391787,0.12335350817864214,16.177465545152224,1.5766797983081398,0.10482707142611643,14.842261063720827,1.5766797983081398,0.10482707142611643,14.842261063720827,1.614906758941646,0.11146426733301394,14.300783850049635,1.590217387109276,0.10480372474105251,14.9747329194605,1.590492610807326,0.10480373209989771,14.97735836288607,1.590217387109276,0.10480372474105251,14.9747329194605,1.590492610807326,0.10480373209989771,14.97735836288607,1.6113787619567006,0.11146089433696262,14.269549675098046,1.6116452824417764,0.11146090267736153,14.271939866413707,0.040000003776457294,0.5636316276310382,0.018266651391218185,0.08000000330301467,0.5402094521262507,0.09500328893091545,0.040000003776457294,0.5636316276310382,0.018266651391218185,0.08000000330301467,0.5402094521262507,0.09500328893091545,0.06424122719510518,0.6412341699137797,0.048993870368844894,0.0799999943600517,0.6307582213007293,0.07572921814376049
2005-05-19,2.116471788075631,0.12017935940015206,17.436332469138904,2.116471788075631,0.12017935940015206,17.436332469138904,2.021799486888531,0.12317567812602431,16.24364603804629,1.5834556265189461,0.10470569208716977,14.924188633707024,1.5834556265189461,0.10470569208716977,14.924188633707024,1.6210284520548743,0.1113324113835191,14.372716161602822,1.5967625036181412,0.10468285412410668,15.054556129937668,1.597035084245068,0.1046828615346161,15.057159358108938,1.5967625036181412,0.10468285412410668,15.054556129937668,1.597035084245068,0.1046828615346161,15.057159358108938,1.6175247415980436,0.11132901662713059,14.341667966290908,1.6177809187675634,0.11132902500436932,14.343968081937778,0.03999999992773607,0.5842728387276539,0.01593723310333191,0.07999999989070934,0.5601510967641086,0.0900911919443725,0.03999999992773607,0.5842728387276539,0.01593723310333191,0.07999999989070934,0.5601510967641086,0.0900911919443725,0.10006811052793878,0.6415574473833732,0.1048027138559468,0.10006811052784415,0.6415574473833365,0.1048027138558076
2005-05-20,2.12018491791432,0.12016679383770502,17.469050491515393,2.12018491791432,0.12016679383770502,17.469050491515393,2.0248044676932797,0.1231566372322864,16.2705567670725,1.58501626759495,0.10466198696317344,14.945334320569524,1.58501626759495,0.10466198696317344,14.945334320569524,1.6224934189215725,0.11128610901127059,14.39186285307881,1.5984564622035637,0.10463898939148347,15.07705771424937,1.598729462695146,0.10463899688863035,15.079666037979196,1.5984564622035637,0.10463898939148347,15.07705771424937,1.598729462695146,0.10463899688863035,15.079666037979196,1.618969536985012,0.11128266728365768,14.360627009367775,1.619228193203866,0.11128267563354653,14.362950367142632,0.03999999337617449,0.5975045834645155,0.014464957741477366,0.07999999316852963,0.5727551394424476,0.08710549696380003,0.03999999337617449,0.5975045834645155,0.014464957741477366,0.07999999316852963,0.5727551394424476,0.08710549696380003,0.12185357877820262,0.6419858336987495,0.13865393507421006,0.12185357877778856,0.6419858336987098,0.13865393507357274
