Date,NYSE,Nasdaq,Nikkei,Shanghai,DAX
2004-07-12,6503.779785,1936.1700440000002,11532.639648,,3911.540039
2004-07-13,6504.600098,1940.310059,11544.019531,,3897.3100590000004
2004-07-14,6488.799805,1913.72998,11663.400391,,3894.570068
2004-07-15,6457.120117,1920.140015,11413.330078,,3898.1999509999996
2004-07-16,6456.02002,1926.189941,11327.75,,3848.139893
2004-07-19,6446.660156,1889.060059,,,3845.030029
2004-07-20,6473.029785,1886.689941,11318.139648,,3809.360107
2004-07-21,6390.209961,1933.02002,11335.240234,,3849.639893
2004-07-22,6390.629883,1872.430054,11310.570313,,3867.209961
2004-07-23,6324.100098,1874.459961,11263.5,,3805.3000490000004
2004-07-26,6297.640136999999,1852.4200440000002,11099.870117,,3795.6599119999996
2004-07-27,6347.600098,1844.280029,11126.269531,,3755.429932
2004-07-28,6357.77002,1861.369995,11133.480469,,3829.040039
2004-07-29,6394.069824,1871.540039,11187.30957,,3815.360107
2004-07-30,6403.149902,1878.540039,11211.200195,,3900.889893
2004-08-02,6426.399902,1874.930054,11274.450195,,3891.179932
2004-08-03,6402.709961,1887.140015,11230.290039,,3869.139893
2004-08-04,6385.060059,1850.780029,11077.519531,,3867.469971
2004-08-05,6295.109863000001,1856.9899899999998,11060.179688,,3834.2700200000004
2004-08-06,6225.830078,1805.949951,10944.610352,,3818.780029
2004-08-09,6227.549805,1782.3499760000002,10827.599609,,3726.51001
2004-08-10,6295.109863000001,1782.300049,10849.700195,,3691.610107
2004-08-11,6278.600098,1778.430054,11049.799805,,3722.610107
2004-08-12,6217.060059,1770.680054,11005.129883,,3683.6599119999996
2004-08-13,6234.839844,1762.459961,10901.55957,,3648.889893
2004-08-16,6315.950195,1759.5799559999998,10728.980469,,3643.080078
2004-08-17,6320.25,1792.2600100000002,10772.240234,,3696.209961
2004-08-18,6386.72998,1787.660034,10724.820313,,3704.8000490000004
2004-08-19,6372.629883,1825.910034,10861.919922,,3729.8701170000004
2004-08-20,6414.669922,1819.540039,10859.080078,,3716.600098
2004-08-23,6385.439941,1843.790039,10961.910156,,3722.2299799999996
2004-08-24,6382.509765999999,1846.930054,10978.620117,,3771.0900880000004
2004-08-25,6431.790039,1836.719971,10959.519531,,3790.1298829999996
2004-08-26,6439.799805,1855.77002,11196.290039,,3796.580078
2004-08-27,6455.52002,1855.030029,11148.209961,,3833.48999
2004-08-30,6414.540039,1855.780029,11181.299805,,3848.8000490000004
2004-08-31,6454.220215,1837.540039,11119.150391,,3829.73999
2004-09-01,6469.859863000001,1833.369995,11104.849609,,3794.169922
2004-09-02,6535.049805,1848.030029,11179.320313,,3814.98999
2004-09-03,6510.439941,1857.609985,11182.099609,,3834.679932
2004-09-06,,,11086.69043,,3867.4499509999996
2004-09-07,6555.640136999999,1856.0,11275.280273,,3888.540039
2004-09-08,6534.089844,1855.25,11345.120117,,3890.6899409999996
2004-09-09,6544.310059,1858.5100100000002,11276.490234,,3867.969971
2004-09-10,6568.299805,1870.3299559999998,11089.900391,,3855.4099119999996
2004-09-13,6581.810059,1900.1700440000002,11139.969727,,3890.290039
2004-09-14,6594.209961,1909.199951,11312.719727,,3954.48999
2004-09-15,6546.319824,1908.380005,11278.660156,,3949.5500490000004
2004-09-16,6574.609863000001,1898.8299559999998,11092.700195,,3941.570068
2004-09-17,6604.0,1907.0100100000002,11132.05957,,3962.820068
2004-09-20,6565.899902,1903.02002,,,3986.330078
2004-09-21,6633.220215,1913.130005,11148.209961,,3977.070068
2004-09-22,6548.560059,1910.22998,11111.299805,,3989.850098
2004-09-23,6521.430176,1887.02002,,,3927.4099119999996
2004-09-24,6531.370117,1888.890015,10934.019531,,3900.5200200000004
2004-09-27,6496.370117,1871.160034,10863.349609,,3905.73999
2004-09-28,6543.390136999999,1865.880005,10805.660156,,3867.5
2004-09-29,6560.680176,1870.609985,10873.879883,,3883.5900880000004
2004-09-30,6570.25,1892.5999760000002,10870.209961,,3934.5900880000004
2004-10-01,6663.180176,1909.589966,10893.19043,,3895.149902
2004-10-04,6677.75,1954.589966,11111.450195,,4005.639893
2004-10-05,6679.25,1950.22998,11257.200195,,4034.3000490000004
2004-10-06,6717.430176000001,1953.910034,11221.540039,,4046.3000490000004
2004-10-07,6654.220215,1967.369995,11399.419922,,4062.9399409999996
2004-10-08,6636.419922,1940.6700440000002,11311.410156,,4028.790039
2004-10-11,6643.169922,1924.410034,,,4011.830078
2004-10-12,6609.709961,1913.699951,11295.049805,,4011.219971
2004-10-13,6556.529785,1944.959961,11235.459961,,3968.5
2004-10-14,6516.100098,1920.5799559999998,11150.589844,,3961.3400880000004
2004-10-15,6559.379883,1907.930054,10960.25,,3937.209961
2004-10-18,6572.370117,1909.780029,11022.110352,,3926.51001
2004-10-19,6530.390136999999,1944.410034,11028.379883,,3944.73999
2004-10-20,6539.47998,1920.060059,10992.5,,3918.360107
2004-10-21,6563.490234000001,1940.109985,10882.049805,,3929.360107
2004-10-22,6521.319824,1952.359985,10848.75,,3932.6201170000004
2004-10-25,6520.899902,1911.0799559999998,10718.929688,,3880.4799799999996
2004-10-26,6598.450195,1915.1500239999998,10652.370117,,3861.5
