Data,ca.f,cb.f,cc.f,ck.f,cl.f,ct.f,dl.f,fi.f,gc.f,gf.f,he.f,hg.f,ho.f,kc.f,ke.f,le.f,lf.f,ls.f,lu.f,mw.f,ng.f,oj.f,pa.f,pl.f,rb.f,rm.f,rs.f,sb.f,si.f,sw.f,tr.f,ux.f,xr.f,zc.f,zk.f,zl.f,zm.f,zo.f,zr.f,zs.f,zw.f
2000-01-17,564.0,25.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.6,,,,,,,,,,,
2000-01-18,560.0,26.05,828.0,,27.8,54.76,10.1,,289.6,85.97,55.55,86.6,0.7704,115.75,292.0,70.7,221.0,333.8,,323.0,2.383,84.4,438.7,415.7,0.772,,261.4,5.29,516.5,166.4,,,,220.0,,16.53,159.4,112.0,5.45,502.25,264.5
2000-01-19,565.0,25.84,844.0,,27.93,57.75,10.1,,290.3,84.95,56.0,88.2,0.7979999999999999,116.7,293.5,72.075,221.25,334.8,,327.5,2.42,83.3,442.75,428.2,0.7674,,263.2,5.49,517.3,168.9,,,,220.75,,16.34,159.3,113.75,5.47,501.0,266.0
2000-01-20,565.0,26.1,853.0,,27.97,57.44,10.1,,289.3,84.67,59.25,87.3,0.8646,112.0,292.75,71.9,227.75,331.6,,326.5,2.559,83.2,451.7,423.5,0.7733,,265.2,5.56,525.7,169.6,,,,220.75,,16.28,162.0,114.0,5.68,505.5,265.0
2000-01-21,569.0,26.35,861.0,,28.2,56.15,10.07,,289.7,84.85,60.05,87.3,0.935,111.2,293.0,72.025,235.25,330.5,,326.0,2.485,83.85,457.1,427.0,0.7696,,265.9,5.43,526.0,168.7,,,,222.75,,16.18,162.3,112.5,5.58,505.25,264.25
2000-01-24,567.0,26.06,844.0,,27.83,56.35,10.15,,288.1,84.72,59.65,85.65,0.8635,111.9,294.5,72.025,225.5,331.5,,328.0,2.528,82.6,470.25,436.0,0.7548,,268.2,5.29,529.3,166.4,,,,227.25,,16.45,164.1,114.0,5.58,512.0,266.0
2000-01-25,567.0,26.54,838.0,,28.28,57.86,10.15,,286.6,85.22,59.125,84.25,0.7521,112.85,293.5,72.175,226.0,328.3,,326.75,2.616,82.75,479.0,441.9,0.7679,,266.5,5.32,531.5,166.4,,,,227.5,,16.48,165.3,115.0,5.69,517.0,264.75
2000-01-26,571.0,26.13,846.0,,27.84,57.42,10.07,,286.5,85.65,59.525,84.15,0.7475,115.15,288.25,72.15,227.5,332.0,,323.25,2.523,83.7,472.0,432.5,0.7499,,264.2,5.42,528.3,167.8,,,,223.0,,16.48,163.5,113.5,5.78,513.25,260.0
2000-01-27,565.0,25.62,823.0,,27.32,57.53,10.07,,289.9,84.75,58.75,84.45,0.7321,114.6,290.75,71.375,222.0,342.0,,324.5,2.61,81.8,483.0,445.6,0.7415,,266.6,5.41,541.5,166.7,,,,225.75,,17.11,166.8,114.0,5.84,527.0,263.5
2000-01-28,569.0,25.68,811.0,,27.22,57.45,10.1,,286.0,84.78,59.775,83.5,0.7327,114.7,287.75,71.575,218.25,345.6,,322.25,2.532,80.9,485.9,453.8,0.7431,,266.5,5.47,532.7,167.4,,,,223.5,,17.04,165.4,113.5,5.94,523.5,259.75
2000-01-31,552.0,25.97,795.0,,27.64,57.86,9.98,,286.2,85.35,60.25,84.95,0.7434,111.1,283.5,72.05,219.5,346.6,,318.75,2.662,79.5,484.7,455.0,0.7553,,262.7,5.42,531.7,167.4,,9.39,,220.0,,16.58,161.0,112.0,5.79,508.0,256.25
